,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
22682,46,Private,328216,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
18811,33,Private,288825,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K
25640,41,Private,120277,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
24611,24,Private,329530,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Mexico,<=50K
20564,26,Private,150361,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
20632,33,Private,382764,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
841,54,Self-emp-not-inc,399705,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
5655,45,Self-emp-not-inc,70754,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,60,United-States,>50K
34225,50,Private,138852,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
34709,26,Private,202091,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
3523,23,Private,275357,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
38434,39,Local-gov,164515,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
6766,58,Private,106740,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
25255,48,Local-gov,115497,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
25649,62,Federal-gov,159165,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States,<=50K
25507,31,Private,117816,7th-8th,4,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,70,United-States,<=50K
21648,41,Private,174395,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
44821,48,Private,350440,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
19068,20,Private,27049,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
21234,51,Self-emp-inc,162327,11th,7,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
25643,27,Private,147951,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,1,United-States,<=50K
42663,28,Private,227840,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
20249,38,Private,169926,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K
9385,36,Private,306361,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,0,0,40,United-States,<=50K
21526,34,Self-emp-inc,28984,Assoc-voc,11,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
31774,53,Self-emp-not-inc,30008,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,<=50K
3118,49,Private,96854,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,40,United-States,<=50K
16073,43,Private,182254,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
36171,27,Private,97490,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
21068,63,Private,264600,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
24783,54,Private,163826,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
27207,49,Private,200949,10th,6,Never-married,Other-service,Unmarried,White,Female,0,0,38,Peru,<=50K
25190,36,Private,175232,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
7761,47,Self-emp-inc,85109,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
1969,53,Private,120914,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
34802,38,State-gov,203628,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
12547,19,Private,62419,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
7068,47,Local-gov,188537,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,60,United-States,>50K
10024,46,Local-gov,126754,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
24277,17,Private,168807,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
19341,17,Private,262511,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
7271,51,Private,173987,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
11804,39,Private,40955,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K
18061,30,Private,123178,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
43253,51,Private,84278,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
28885,40,Self-emp-inc,137367,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,<=50K
12643,39,Private,114605,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
10952,31,Private,308812,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
39454,18,Private,77845,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,1602,15,United-States,<=50K
35806,38,Private,331395,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,3942,0,84,Portugal,<=50K
42167,61,Self-emp-not-inc,201965,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
39881,23,Private,117606,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,60,United-States,<=50K
28278,40,State-gov,182460,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,38,China,>50K
3436,39,Private,270557,Masters,14,Divorced,Other-service,Not-in-family,White,Female,0,0,50,United-States,>50K
7770,42,Private,102988,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,Ecuador,>50K
12304,46,Private,30111,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K
44536,39,Private,451059,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
37558,67,Self-emp-not-inc,123393,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,6418,0,58,United-States,>50K
26614,30,Private,402539,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
20903,44,Federal-gov,280362,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
11868,28,Local-gov,229656,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1485,40,United-States,>50K
35063,23,Private,289909,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
2042,21,Private,57827,HS-grad,9,Widowed,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
6134,22,Private,287681,11th,7,Never-married,Farming-fishing,Other-relative,White,Male,0,0,40,Mexico,<=50K
38918,41,Self-emp-inc,146659,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Honduras,<=50K
24443,59,Private,159008,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,20,United-States,>50K
7119,39,Private,365009,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
7064,41,Private,190786,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
43761,21,Private,211391,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,27,United-States,<=50K
1964,28,Private,196286,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
9976,44,Private,157765,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
31854,42,Private,245317,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
30054,22,Private,174975,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Female,0,0,36,United-States,<=50K
2655,45,Private,54098,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
13151,57,Private,289605,9th,5,Never-married,Craft-repair,Not-in-family,White,Male,0,1617,35,United-States,<=50K
28552,31,Private,200117,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
4000,45,Federal-gov,230685,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
30478,23,Private,190290,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
22249,37,Private,213008,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Japan,<=50K
12230,17,Private,134829,11th,7,Never-married,Other-service,Own-child,White,Male,2176,0,20,United-States,<=50K
10300,47,Private,234470,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
44094,29,Private,123677,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
19464,59,Private,252714,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,Italy,<=50K
17494,18,Private,280298,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,24,United-States,<=50K
6408,51,Private,93690,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
10271,23,Private,224217,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
26620,38,Federal-gov,303817,Some-college,10,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,<=50K
12471,41,State-gov,205153,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
2644,46,Private,168191,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,2,Italy,<=50K
10069,21,Private,94826,5th-6th,3,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Guatemala,<=50K
22441,35,Self-emp-not-inc,179171,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,38,Germany,<=50K
12640,32,Private,117028,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27379,39,Private,177075,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
31847,58,Self-emp-not-inc,193434,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50K
31681,29,Self-emp-inc,187450,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
22269,62,Private,116812,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
20012,57,Private,183810,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
9924,33,Self-emp-not-inc,75417,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,8,United-States,<=50K
32014,28,Private,410351,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
29499,48,Private,204990,HS-grad,9,Never-married,Tech-support,Unmarried,Black,Female,0,0,33,Jamaica,<=50K
28943,28,Private,309196,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
12980,60,Private,186000,10th,6,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
19024,25,Private,308144,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
5677,32,Self-emp-not-inc,321313,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
15484,23,Private,54012,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
1776,29,Private,328981,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
35854,44,Private,210013,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
29938,19,Private,301747,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
32049,26,Private,160445,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25086,35,Private,275522,7th-8th,4,Widowed,Other-service,Unmarried,White,Female,0,0,80,United-States,<=50K
5838,27,Private,292883,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
34389,42,Private,296749,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
30025,31,Private,211880,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
27191,46,Local-gov,183168,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,43,United-States,<=50K
27705,43,Private,203642,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
11189,47,Private,138069,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
10099,43,Private,139277,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,0,0,40,Italy,<=50K
35776,51,Private,219599,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
32899,46,Private,192793,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
29115,28,Private,114158,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K
14498,72,Private,135378,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
33343,38,Self-emp-not-inc,146042,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3103,0,60,United-States,>50K
3988,22,Private,310197,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
37473,26,Private,104045,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
39984,53,Self-emp-not-inc,105478,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,>50K
34252,40,Private,176069,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
18103,47,Local-gov,242552,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
19224,22,Private,186452,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
29469,22,Private,448626,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
4873,39,State-gov,372130,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,5013,0,56,United-States,<=50K
42124,39,Private,454915,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
43261,45,Self-emp-inc,188330,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
10150,48,State-gov,98010,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,16,United-States,>50K
8904,29,Private,161615,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
1547,37,Self-emp-not-inc,200352,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
218,42,Private,227968,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,28,Haiti,<=50K
29548,36,Private,184659,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
7615,17,Private,102446,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
30897,40,Private,254167,10th,6,Separated,Transport-moving,Own-child,White,Male,0,0,35,United-States,<=50K
25022,23,Private,284898,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,30,United-States,<=50K
37030,32,Private,113364,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
9430,29,Local-gov,128091,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Female,0,0,40,United-States,<=50K
26055,32,Private,194901,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
3690,39,Private,52870,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,<=50K
8631,44,Local-gov,193144,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
8787,66,Self-emp-not-inc,244749,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Cuba,<=50K
17388,34,Self-emp-not-inc,111985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
31737,44,Private,121130,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
5429,59,State-gov,100270,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K
15716,40,Private,144995,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,4386,0,40,United-States,<=50K
9565,55,Private,228595,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
26497,27,Self-emp-not-inc,212041,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
43191,43,Private,48193,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
20885,66,Private,127139,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
44591,27,Private,103634,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States,<=50K
36071,50,Private,81548,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
21009,52,Self-emp-inc,173754,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,>50K
5811,45,Local-gov,45501,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
32596,31,Self-emp-not-inc,186420,Masters,14,Separated,Tech-support,Not-in-family,White,Female,0,0,25,United-States,<=50K
5606,50,Local-gov,68898,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
11232,28,Private,352451,7th-8th,4,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
14207,31,Private,161765,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
25668,37,Self-emp-not-inc,31670,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
30125,61,Private,199198,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,21,United-States,<=50K
42097,61,Self-emp-not-inc,196773,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,>50K
20763,49,Private,61885,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19278,48,Private,189462,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
39408,40,Self-emp-not-inc,548664,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States,<=50K
32449,31,Private,156493,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
9857,29,Private,125131,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K
44555,36,Private,166509,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
7672,42,Private,208068,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Other,Male,7298,0,40,Mexico,>50K
9217,32,Private,266345,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
